Timestamp,Rate FF,Goals anxiety,FF-High Stakes,FF-Future plans,Self-Value,Outcome Control,FoF Total,Rate AM,Intrinsic Motivation,Seeking Learning Opportunity,Enthusiasm in Challenges,Self Comparison,Score Comparison,Mot Total,Dropping a Class,Avoid Studying,Cheating,Avoiding challenges,,FF Ability to Learn,FF Most Difficult Course,FF Easiest Course,Learning Content 1st Priority if FF in Interesting Class,Learning Content 1st Priority if FF for Uninteresting Class,"Learning Content 1st Priority if FF for P/NP Class, GPA N/A",Would Seek Help Due to FF,Would Persist if FF,Actively Seek Feedback,Perception of Academia if Failure Not Possible,Motivation to Learn Master Course Content if Failure Not Possible,Relationship Between Grades & Learning,Define Academic Success,How High Potential for Failure Affects Personal Interest,How High Stakes Class Affects Priorities
2/29/2024 10:34:16,3,5,4,2,4,4,73.33333333,4,5,3,2,4,4,73.33333333,5,2,1,4,,4,5,1,2,1,2,2,3,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 10:36:10,5,5,5,2,4,4,83.33333333,4,3,3,3,5,3,70,4,4,2,5,,5,5,2,5,1,1,2,1,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
2/29/2024 11:03:54,5,5,4,1,4,1,66.66666667,5,4,5,4,5,5,93.33333333,4,4,3,4,,3,4,1,3,1,4,5,4,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 11:23:38,5,4,5,2,3,5,80,4,3,3,4,3,2,63.33333333,4,1,4,2,,4,5,1,4,1,5,3,3,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 11:39:16,4,2,2,1,4,5,60,5,5,4,3,5,3,83.33333333,2,2,3,3,,2,2,1,3,1,4,2,3,2,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 11:43:16,5,5,5,1,1,2,63.33333333,2,2,1,1,3,4,43.33333333,3,1,5,5,,2,5,1,1,5,3,5,4,4,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
2/29/2024 11:47:12,4,5,4,3,2,2,66.66666667,5,5,5,5,4,5,96.66666667,3,1,5,4,,2,3,1,1,1,4,2,5,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 12:01:17,4,3,3,5,2,3,66.66666667,3,4,3,2,2,3,56.66666667,2,2,3,4,,2,5,1,4,2,3,4,5,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
2/29/2024 12:41:20,3,3,3,3,3,4,63.33333333,4,4,4,4,5,4,83.33333333,5,2,2,1,,5,5,1,1,2,1,5,5,5,I would not be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
2/29/2024 13:04:42,1,3,2,3,4,2,50,5,5,5,5,4,3,90,2,2,2,2,,2,2,1,2,2,2,3,4,4,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 13:05:39,1,1,1,5,3,1,40,5,5,5,5,4,4,93.33333333,3,4,3,4,,3,5,1,1,1,1,3,4,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Learning would be my top priority.
2/29/2024 13:23:11,3,4,4,2,2,2,56.66666667,4,4,3,2,4,4,70,4,2,4,4,,2,4,1,2,2,2,4,4,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
2/29/2024 14:04:28,4,4,3,4,3,2,66.66666667,4,2,3,3,3,2,56.66666667,4,2,4,3,,2,4,1,2,2,4,2,4,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 14:20:01,5,5,4,3,2,1,66.66666667,5,4,4,5,4,3,83.33333333,1,1,4,1,,2,4,2,5,3,3,5,5,5,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Learning would be my top priority.
2/29/2024 15:13:51,4,5,5,5,2,2,76.66666667,5,5,4,3,5,5,90,2,1,5,2,,2,4,1,4,3,3,4,4,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
2/29/2024 15:41:18,5,5,5,5,5,5,100,4,4,5,5,5,5,93.33333333,2,1,4,1,,2,5,1,5,1,1,5,5,5,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 16:17:48,4,4,4,5,4,4,83.33333333,4,4,3,3,4,4,73.33333333,3,3,4,4,,3,4,2,2,1,3,4,4,4,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
2/29/2024 20:06:46,5,5,5,5,5,5,100,4,5,4,4,5,5,90,1,1,4,1,,5,5,1,3,1,2,5,4,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
2/29/2024 22:25:32,4,3,5,5,3,1,70,4,2,3,3,4,5,70,2,4,4,5,,4,5,4,3,1,5,3,4,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/1/2024 9:07:10,3,4,3,5,4,3,73.33333333,2,2,1,3,4,3,50,1,3,4,2,,4,5,1,1,5,3,4,4,3,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/1/2024 9:13:28,3,4,3,4,2,4,66.66666667,4,3,3,3,4,5,73.33333333,2,2,2,2,,2,5,1,4,3,2,3,4,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/1/2024 11:30:41,5,5,5,5,5,5,100,5,3,4,4,5,3,80,4,1,1,3,,4,4,4,3,3,3,4,4,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/1/2024 18:38:54,5,5,5,3,5,5,93.33333333,4,3,3,3,5,1,63.33333333,5,4,2,4,,5,5,2,2,1,3,3,4,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/1/2024 23:28:14,5,5,4,5,4,5,93.33333333,5,3,5,5,4,1,76.66666667,5,4,4,4,,5,5,1,3,3,5,5,5,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/2/2024 13:13:56,2,3,4,3,4,2,60,3,3,3,3,4,4,66.66666667,2,2,4,1,,4,4,1,3,3,4,3,3,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/2/2024 17:25:26,5,5,5,4,5,5,96.66666667,5,4,4,5,5,1,80,4,1,1,1,,1,5,5,5,5,5,4,5,5,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/2/2024 17:46:22,3,5,3,5,5,3,80,4,5,3,5,5,3,83.33333333,1,2,3,1,,4,3,1,4,1,5,1,5,4,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/3/2024 11:10:20,4,3,5,4,3,4,76.66666667,5,5,5,4,3,4,86.66666667,4,1,2,2,,1,4,1,4,3,5,4,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Learning would be my top priority.
3/3/2024 11:36:17,5,5,5,5,5,5,100,5,5,4,4,5,5,93.33333333,3,1,3,1,,5,5,3,1,1,5,5,3,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/3/2024 13:37:18,5,3,5,5,4,5,90,5,5,5,5,5,3,93.33333333,2,1,5,1,,2,3,1,2,2,5,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/3/2024 15:18:12,5,5,5,5,5,5,100,4,3,3,4,4,5,76.66666667,3,1,1,5,,5,5,1,5,1,1,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/3/2024 16:05:55,4,5,5,5,2,4,83.33333333,5,5,4,4,5,3,86.66666667,5,2,4,2,,5,5,1,5,5,2,3,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/3/2024 20:45:19,4,4,5,5,5,5,93.33333333,3,3,3,3,4,4,66.66666667,5,3,5,3,,4,5,1,2,2,5,2,3,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/3/2024 21:49:11,5,4,5,5,3,4,86.66666667,4,2,3,3,4,5,70,4,2,4,4,,2,4,1,4,2,4,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/3/2024 21:53:55,2,5,2,5,4,5,76.66666667,5,5,5,5,5,1,86.66666667,3,1,1,2,,4,5,1,4,1,1,3,5,2,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/3/2024 23:16:44,5,5,5,5,5,5,100,5,5,5,5,5,5,100,5,5,5,5,,5,5,5,5,5,5,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Learning would be my top priority.
3/5/2024 12:49:50,4,5,4,5,5,4,90,4,3,4,4,5,5,83.33333333,2,1,4,2,,1,5,2,4,3,2,2,5,3,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/5/2024 13:08:30,4,4,4,4,4,2,73.33333333,4,3,3,4,4,3,70,4,1,5,2,,4,5,1,1,1,5,4,4,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/5/2024 13:20:22,5,5,5,4,4,5,93.33333333,5,5,5,5,5,5,100,5,5,5,4,,5,5,5,4,5,4,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Learning would be my top priority.
3/5/2024 13:24:34,2,3,4,4,2,1,53.33333333,4,4,4,4,3,2,70,1,1,1,1,,2,3,1,2,2,2,4,4,4,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/5/2024 13:41:31,5,3,4,5,2,1,66.66666667,2,4,3,1,3,5,60,5,4,4,2,,2,5,1,3,1,3,1,3,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/5/2024 15:10:06,3,4,4,5,2,3,70,4,4,3,3,4,4,73.33333333,4,2,5,5,,3,5,1,1,1,2,3,5,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/5/2024 17:56:11,5,4,5,5,5,5,96.66666667,4,4,3,2,5,2,66.66666667,4,2,5,4,,4,5,2,1,1,4,1,4,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/6/2024 13:53:29,5,5,5,1,4,2,73.33333333,5,2,2,2,5,5,70,5,3,5,4,,5,5,1,1,1,5,4,5,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/6/2024 14:38:32,5,5,5,5,5,5,100,5,5,3,5,5,1,80,5,1,5,1,,4,4,3,5,3,3,3,3,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Learning would be my top priority.
3/6/2024 14:43:09,5,5,5,5,3,4,90,5,4,4,4,4,3,80,3,5,4,4,,4,5,2,1,1,1,4,5,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/6/2024 15:59:13,5,5,5,5,5,5,100,5,5,5,5,5,5,100,5,5,5,5,,5,5,5,5,5,5,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 16:11:59,3,4,4,4,5,2,73.33333333,3,3,4,2,5,5,73.33333333,5,2,4,4,,4,4,2,1,2,4,5,5,5,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:02:16,4,4,5,5,5,4,90,5,3,5,4,3,2,73.33333333,1,1,5,2,,4,4,2,3,1,3,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:09:50,5,5,5,5,5,2,90,5,4,5,5,5,4,93.33333333,3,1,1,2,,3,4,1,1,1,1,5,4,5,I would not be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:09:54,4,4,4,4,4,3,76.66666667,4,3,2,3,4,4,66.66666667,4,4,5,4,,3,5,1,4,2,4,4,5,3,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:10:49,3,4,3,2,4,2,60,3,5,4,4,4,3,76.66666667,3,1,4,2,,2,4,1,5,1,5,3,4,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:15:05,2,4,1,3,2,1,43.33333333,5,5,4,5,4,1,80,1,1,1,1,,1,1,1,3,5,5,5,1,1,I would not be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:15:37,5,5,5,5,5,5,100,5,5,5,3,5,5,93.33333333,4,1,1,4,,4,5,2,2,2,5,5,3,1,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:16:50,1,3,2,5,2,5,60,5,4,5,5,5,5,96.66666667,5,1,5,5,,1,1,1,1,1,1,5,5,5,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:19:34,4,3,4,5,2,2,66.66666667,3,4,3,3,4,2,63.33333333,1,3,2,1,,5,5,2,4,2,2,2,4,2,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Learning would be my top priority.
3/6/2024 20:21:15,5,5,5,5,1,5,86.66666667,5,5,5,4,5,5,96.66666667,4,1,5,1,,1,3,1,1,1,1,5,5,4,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:27:14,5,4,5,5,5,2,86.66666667,4,4,3,3,2,3,63.33333333,3,1,1,2,,2,4,2,1,1,1,4,4,3,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:40:23,4,4,5,5,4,5,90,5,5,5,4,3,3,83.33333333,2,1,5,5,,2,5,2,5,5,2,3,5,4,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 20:45:15,3,4,3,3,2,2,56.66666667,4,3,3,3,3,2,60,2,2,2,2,,3,4,1,2,2,2,3,3,4,I would be willing to take risks and explore new courses,I would feel less motivated to learn,grades do not accurately reflect learning,understanding and mastering the material,I would still feel motivated to learn when I am personally interested in the subject matter,Getting a good grade/ passing the class would be my top priority.
3/6/2024 21:44:06,2,4,3,3,3,3,60,2,4,2,2,3,4,56.66666667,5,2,1,4,,2,3,1,1,1,4,2,5,2,I would be willing to take risks and explore new courses,I would feel more motivated to learn,grades do not accurately reflect learning,achieving high grades,I would be less motivated to learn if I could fail something I was personally interested in,Getting a good grade/ passing the class would be my top priority.
